NAME;FRECUENCY;MEAN_AGE;GEN
AIMARA;382;14,2;F
ERIN;381;7,4;F
JULIET;381;31,5;F
MARIA ETELVINA;381;59,9;F
SAIRA;381;18,8;F
MARIA ADRIANA;380;41,4;F
MARIA LUCRECIA;380;51,9;F
MARIA TANIA;380;34,4;F
MARYEM;380;20,8;F
ROCIO MAR;380;30;F
TARA;380;23,4;F
ALICIA CARMEN;379;41,9;F
ANDRESA;379;75,2;F
FRUCTUOSA;379;74,2;F
NAJIMA;379;34,3;F
DOMINIQUE;378;45,2;F
GLADIS;378;42,7;F
IOSUNE;378;31,8;F
IULIIA;378;29,9;F
MARIA INOCENCIA;378;57,9;F
MARIA ELVA;377;55,1;F
MARIA EUSEBIA;377;59,1;F
NAIR;377;30,2;F
XIAOYAN;377;34,2;F
ANNIE;376;49,2;F
BUENAVENTURA;376;71;F
CLAUDIA MILENA;376;36,8;F
ENYA;375;11,5;F
JENIFFER;375;24,3;F
LUCIA PILAR;375;34,6;F
NATIVITAT;375;64,1;F
ROSA DOLORES;375;52,4;F
WAFA;375;24,5;F
ZAHIA;375;43,2;F
BEATRIZ CARMEN;374;38,6;F
CONRADA;374;71,7;F
DIANA ELIZABETH;374;29,3;F
HASNAA;374;29;F
CARMELINA;373;63,8;F
DENISSE;373;17;F
FORTUNATA;373;70,3;F
GETA;373;43,4;F
MADELEINE;373;35,2;F
ROSA INES;373;48,9;F
AMELIE;372;10,1;F
ARABIA;372;25,5;F
PATRIZIA;372;42,6;F
YULIANA;372;20,3;F
CRISTIANA;371;36,1;F
SANDA;371;42,4;F
ANA CLAUDIA;370;33,1;F
ANASTASIIA;370;21;F
ANNABEL;370;28;F
CARMEN ESTHER;370;47,2;F
MARTA LUISA;370;33,6;F
MIRYAN;370;29,8;F
OMAYRA;370;24,8;F
YENNY;370;37,2;F
ANDREEA MARIA;369;17,2;F
BEATA;369;40;F
BIANCA MARIA;369;15,6;F
DOAA;369;6,2;F
ESTIBALITZ;369;36,1;F
ITSASNE;369;17,4;F
MARIA PURA;369;65,7;F
CORONA;368;68,3;F
JAEL;368;22,5;F
JOANNE;368;41,3;F
YUSRA;368;12,2;F
AMAIUR;367;14;F
ANCUTA;367;31,7;F
JEANNETTE;367;37,8;F
KSENIA;367;24,9;F
MARIA BARBARA;367;50,9;F
MARIA ELBA;367;51,5;F
RALUCA;367;27,7;F
SILVESTRA;367;70,1;F
ANGELIKA;366;48,3;F
AFRICA MARIA;365;30,6;F
ANGELA CARMEN;365;38,1;F
ANTONIA DOLORES;365;57,5;F
ATTENERI;365;18,5;F
JOANE;365;10,4;F
KATALIN;365;26,7;F
MARIA LUZDIVINA;365;59,3;F
MARIA YURENA;365;31,9;F
CLAUDIA ALEJANDRA;364;34,4;F
DULCENOMBRE MARIA;364;41,2;F
DUNIA ESTHER;364;39,2;F
FELISA MARIA;364;54,2;F
LAMYAE;364;20,5;F
MARIA ISAURA;364;59,1;F
RIHAM;364;6,2;F
NATALY;363;18,7;F
ALODIA;362;41,8;F
ARCADIA;362;68,8;F
ELENA DANIELA;362;31,7;F
MONICA CARMEN;362;38,8;F
ROSA ANGELICA;362;42,9;F
SASKIA;362;24,2;F
YAEL;362;18,5;F
BLANDINA;361;70,5;F
DOLORES ISABEL;361;50,8;F
ISABEL TERESA;361;49,2;F
JONE MIREN;361;45,6;F
LILIANA PATRICIA;361;39,8;F
MIREN JAIONE;361;49,2;F
SALUSTIANA;361;70,9;F
ANNIA;360;18,6;F
CARMEN ANGELES;360;53;F
KHRYSTYNA;360;23,6;F
NOHEMI;360;34,4;F
OLESYA;360;33;F
PERLA;360;35,9;F
IRIS MARIA;359;25,2;F
SONIA ISABEL;359;38,6;F
AINHOA MARIA;358;16;F
CRISTIANE;358;36,9;F
CRUZ MARIA;358;47,1;F
DIANA MILENA;358;34,3;F
JANICE;358;42,7;F
MARIA AROA;358;32,9;F
MARIA ELOINA;357;59,9;F
VIDALINA;357;65,6;F
BLANCA ELENA;356;47,6;F
HASSANA;356;33,8;F
MARIA LUJAN;356;38,2;F
MARIA SABINA;356;53,6;F
YAMILETH;356;34,5;F
INDHIRA;355;5,5;F
LIDYA;354;26,6;F
MARIA MARINA;354;60,3;F
MARIA RUFINA;354;59,9;F
ANA LIDIA;353;37,6;F
DIANE;353;54,2;F
ALEXIA MARIA;352;11,8;F
BLANCA FLOR;352;54;F
CINDY;352;23;F
DIAMANTINA;352;65,1;F
GILLIAN;352;57,3;F
MARIA AZAHARA;352;27,3;F
MARIA MARCELINA;352;60,2;F
SILVIA BEATRIZ;352;45,9;F
MENNANA;351;50,2;F
OUASSIMA;351;24,8;F
VALVANERA;351;49;F
YANETH;351;37,4;F
ALINA ELENA;350;28,1;F
ANA ESPERANZA;350;39,7;F
GABRIELA ALEJANDRA;350;26,6;F
JUANI;350;48,7;F
MARIA NANCY;350;46,8;F
OLEGARIA;350;72,5;F
EUNATE;349;23,6;F
JELENA;349;38;F
MARTA CARMEN;349;33,9;F
DORLETA;348;34,1;F
LUISA ISABEL;348;49,8;F
MARTA TERESA;348;36,5;F
MATILDA;348;15,2;F
ADRIANA PATRICIA;347;37,7;F
CALIXTA;347;70,2;F
MARIA MISERICORDIA;347;58,3;F
MIREN GURUTZE;347;48,9;F
MIRTHA;347;47;F
RAFAELA MARIA;347;48,3;F
VERENA;347;40,7;F
CLEOFE;346;66,6;F
PETYA;346;33,8;F
DOAE;345;7;F
FREDESVINDA;345;71,4;F
HASSNA;345;27,1;F
ELPIDIA;344;71,9;F
FLORES;344;54,4;F
LUNA MARIA;344;15,8;F
TRINIDAD MARIA;344;49,2;F
ANA ANGELES;343;45,6;F
CARMEN MARINA;343;39,1;F
ESTHER GLORIA;343;47,4;F
OUAFAA;343;31,9;F
PAULA ISABEL;343;25,1;F
JASMINE;342;15,2;F
JOLANTA;342;43;F
MARIA EDUARDA;342;31,2;F
OLGA LIDIA;342;44,2;F
PATRICIA ELIZABETH;342;42;F
AYESHA;341;17;F
LIDUVINA;340;61,7;F
SUSANA ISABEL;340;41,2;F
ALICIA ISABEL;339;41;F
ANA VIRGINIA;339;38,7;F
AYMARA;339;14,2;F
FRANCISCA JOSEFA;339;56,4;F
MARIA ANTIGUA;339;54,8;F
PATRICIA ELENA;339;32,6;F
ANGELA PATRICIA;338;34;F
GUAYARMINA;338;32,8;F
IDA;338;53,7;F
LIUDMYLA;338;44,5;F
XANDRA;338;28,1;F
CHADIA;337;30,8;F
MARIA HILDA;337;58,8;F
ONINTZA;337;25,8;F
ANA YOLANDA;336;44,2;F
BERNADETTE;336;50;F
FRANCISCA TERESA;336;55,3;F
MARIA ELIDA;336;62,5;F
REINA;336;42,2;F
SARA CARMEN;336;27,7;F
ANNETTE;335;50;F
FIRDAOUS;335;8,2;F
HLIMA;335;41,8;F
LONGINA;335;71,9;F
MARIA MINERVA;335;44,9;F
MARINE;335;37,3;F
MARTHA LILIANA;335;42;F
PATRICIA ALEJANDRA;335;36,1;F
SABRIN;335;6,5;F
VIKTORIIA;335;28,1;F
MARIA CAMPO;334;49;F
MARIA ERMITAS;334;63,6;F
ALAA;333;5,4;F
LISBETH;333;27,8;F
ZULMA;333;38,1;F
INA;332;37,4;F
ALISA;331;18,7;F
BEATRIU;331;42,8;F
CARMEN AMELIA;331;49,3;F
CARMEN JOSEFA;331;59,8;F
JORGINA;331;40,2;F
KEYLA;331;10,8;F
MARIA AUGUSTA;331;50,4;F
MARIA DORINDA;331;66,7;F
MARIA ZORAIDA;331;43,5;F
MARJORIE;331;42,8;F
ATANASIA;330;73,6;F
BETTINA;330;42,5;F
ELENA VICTORIA;330;34,6;F
KATHARINA;330;41,8;F
MIREN MAITE;330;51,7;F
ROSA EMILIA;330;51,2;F
SANDRA CRISTINA;330;35,2;F
SOFIYA;330;24,5;F
CASTORA;329;72;F
LUBNA;329;22,4;F
MARIA ALFONSA;329;59,8;F
MARIA MAGNOLIA;329;45,1;F
MIREN AMAIA;329;48,8;F
OLGA BEATRIZ;329;44,9;F
ZHOUR;329;35;F
ZUZANA;329;33,7;F
ELENA PILAR;328;39,9;F
EVA PILAR;328;37,3;F
MACARIA;328;72,9;F
MARIA LUCINDA;328;58,5;F
NURIA ISABEL;328;37,8;F
ROSALIA MARIA;328;50,7;F
ROSEMARIE;328;58,9;F
YENNIFER;328;23,9;F
ELIXABET;327;31,3;F
FIORELLA;327;21,9;F
MARIA FERMINA;327;58,1;F
ARACELI MARIA;326;37,4;F
BERNABELA;326;64,9;F
LAURA VICTORIA;326;27,3;F
NATALI;326;20,6;F
TINGTING;326;21,6;F
UBALDINA;326;68,6;F
ANNA ISABEL;325;34,5;F
CRISTETA;325;73,8;F
DIANA ISABEL;325;29,3;F
FLORENCE;325;43,2;F
IOANA MARIA;325;26,3;F
JULIA CARMEN;325;48,6;F
PAULA CARMEN;325;22;F
RANYA;325;6,4;F
ANGELA ISABEL;324;39;F
BETSABE;324;32;F
ISABEL ROCIO;324;32,6;F
MARIA FELICIANA;324;55,3;F
ANDREA ISABEL;323;23;F
MARIA JIMENA;323;30,8;F
MERCEDES CARMEN;323;50,8;F
NATALIA ANDREA;323;27,2;F
REMIGIA;323;71;F
ALMUDENA MARIA;322;29,7;F
INMA;322;32,6;F
IRENE CARMEN;322;29,5;F
MARIA NELA;322;47,9;F
TEREZA;322;38,6;F
BIRGIT;321;52,9;F
ISABEL VICTORIA;321;45;F
MANUELA CARMEN;321;54,2;F
ROSA ANGELES;321;51,9;F
ROSSANA;321;37;F
SONJA;321;46,5;F
JOSEFA ANGELES;320;58,1;F
LAURA SOFIA;320;13,4;F
MARGARITA CARMEN;320;51,7;F
MEGAN;320;12,4;F
RUPERTA;320;72,8;F
SYLVIE;320;46,2;F
LAURA ESTHER;319;35,9;F
MARIA QUERALT;319;44,8;F
ZOYA;319;43,7;F
AMANDA MARIA;318;24,9;F
ILARGI;318;9,1;F
MARIA BENIGNA;318;61,6;F
MARIYANA;318;40,9;F
PATRICIA PILAR;318;34,7;F
VERONICA CARMEN;318;33,5;F
WISAL;318;7,1;F
YI;318;23,2;F
CARMEN LOURDES;317;45;F
EDUVIGES;317;70,8;F
MARIA AINHOA;317;33,5;F
MIKAELA;317;27,7;F
ROZALIA;317;47,8;F
ALIDA;316;48,1;F
EUKENE;316;22,6;F
RABIAA;316;40,7;F
ANA CATALINA;315;39,7;F
GLORIA ESPERANZA;315;47,5;F
HUERTAS;315;64,1;F
JOSEFA FRANCISCA;315;61,1;F
LUIZA;315;35,1;F
MARIA PAOLA;315;34,6;F
ROSA EVA;315;45;F
YESSENIA;315;15,7;F
DAIANA;314;13,3;F
MARIA VALVANERA;314;51,5;F
NUBIA;314;43;F
TAIS;314;24,4;F
TIFFANY;314;15,3;F
LEIA;313;8,8;F
MARISELA;313;39,9;F
NASSIMA;313;23,6;F
NAZARIA;313;70,2;F
NIKOLE;313;10,7;F
SERVANDA;313;69,4;F
VIVIANE;313;39,4;F
ANIANA;312;66,9;F
DELMIRA;312;68,2;F
GEORGIA;312;32,9;F
JUANA PILAR;312;57,7;F
MARIA CASILDA;312;59,8;F
MARIA PERPETUO SOCORRO;312;61,7;F
MARIA TATIANA;312;36,6;F
MARTHA ELENA;312;47,8;F
ADAMA;311;22,3;F
CELERINA;311;74,7;F
CLAUDIA ELENA;311;32,3;F
CORALIA;311;52;F
OUAFA;311;31,6;F
RAJA;311;27;F
ALOÑA;310;34;F
ELISABEL;310;35,6;F
JINGJING;310;23,4;F
KHADY;310;29,1;F
RAMONA MARIA;310;46,4;F
ALANA;309;14,8;F
ANA MARIA PILAR;309;58,4;F
ENEIDA;309;33,3;F
JANINE;309;38,2;F
ROSITSA;309;41,4;F
ANISA;308;25,2;F
MARIA CONSTANZA;308;42,4;F
PATRICIA ALEXANDRA;308;31;F
ROSE;308;42,5;F
ROXANA MARIA;308;24,4;F
SANDRA LORENA;308;34,8;F
ANXELA;307;19,4;F
MARIA GUILLERMINA;307;56,1;F
MATILDE MARIA;307;50,3;F
PLACERES;307;71;F
YVETTE;307;38,6;F
FAITH;306;29,5;F
GIULIANA;306;27,5;F
MARIA DAVINIA;306;31,5;F
MARIA DULCE NOMBRE;306;52,3;F
MONICA ELIZABETH;306;38,4;F
VALERIYA;306;26,8;F
CRISPINA;305;70,6;F
ELZBIETA;305;45,9;F
GAIA;305;11,3;F
MARIA CLEMENTINA;305;60,3;F
MARIA JOSEPA;305;58,3;F
MARTA SUSANA;305;50,3;F
AURITA;304;69,4;F
ELLEN;304;48;F
HAMIDA;304;35,8;F
LUCIE;304;30,6;F
EMILIYA;303;41,2;F
MARIA HUMILDAD;303;63,7;F
SIERRA;303;66,3;F
BINTOU;302;22,6;F
ELKE;302;54,9;F
GONZALA;302;72,6;F
LOUISE;302;42,3;F
MIRIAM CARMEN;302;29,6;F
MIROSLAVA;302;33,9;F
NOELA;302;20,3;F
ROCIO BELEN;302;26,6;F
ANA INMACULADA;301;38,5;F
CLAUDIA ISABEL;301;27,6;F
EXPECTACION;301;70,5;F
RUBIELA;301;52;F
EUTIMIA;300;75,3;F
EUTIQUIA;300;77,3;F
GEANINA;300;30,7;F
KEIRA;300;5,5;F
LIDON;300;38,3;F
MARIA MARCELA;300;47;F
MARIEL;300;23,6;F
MIREN JASONE;300;49,2;F
NOHAILA;300;8,7;F
ROSA AURORA;300;52,3;F
ZAHARA;300;22,1;F
ANGELA CRUZ;299;18;F
ELLA;299;23,2;F
IZIAR;299;18,1;F
GURUTZE;298;41;F
LUJAN;298;13,5;F
NIURKA;298;34,3;F
AINIZE;297;19,4;F
ALICIA ESTHER;297;47,4;F
CARMEN CONCEPCION;297;55,6;F
GEMA ISABEL;297;35,3;F
JESICA MARIA;297;28,4;F
SELINA;297;31,5;F
URSULA MARIA;297;40,4;F
XIAOMEI;297;39,8;F
ANA ELVIRA;296;45,4;F
ESTERA;296;29,4;F
FACUNDA;296;71,8;F
FRIDA;296;19,7;F
KATTALIN;296;10,8;F
LAURA DANIELA;296;21,1;F
MARIA ALICE;296;51,3;F
MERCEDES PILAR;296;51,8;F
MIREN GOTZONE;296;50,4;F
ROSA VICTORIA;296;49,6;F
VALME;296;38,3;F
DIANA ALEXANDRA;295;24;F
INDALECIA;295;71,2;F
KRASIMIRA;295;39,2;F
NOELIA CARMEN;295;30,1;F
SABRINE;295;11,8;F
CLARIBEL;294;41,3;F
DOROTA;294;39,3;F
IHSSAN;294;26,6;F
LORENA CARMEN;294;27,7;F
MARIA GUIA;294;47,3;F
SILVIA CARMEN;294;40,7;F
HODA;293;14,3;F
KAMILA;293;22,3;F
NIHAL;293;10,5;F
ROSITA;293;58,6;F
VICTORIA CARMEN;293;40;F
ALICIA BEATRIZ;292;47,7;F
ANA ELIZABETH;292;34,4;F
ANA PAOLA;292;27,3;F
ANZHELA;292;38,8;F
DONATA;292;68,5;F
DUMITRA;292;48,5;F
ISAMAR;292;19,9;F
MARAM;292;4,8;F
MARIA CORONADA;292;44,8;F
ODETTE;292;48,9;F
SOUKAYNA;292;17,5;F
ISABEL CLARA;291;45,2;F
JIHAN;291;11,9;F
JULIA ROSA;291;55,8;F
MARCELA ALEJANDRA;291;41,6;F
MARIA DORA;291;61,2;F
MARIA OLATZ;291;50,4;F
NADEJDA;291;41,7;F
TANJA;291;37,1;F
TIZIANA;291;30,7;F
ALEXA;290;10,6;F
ANA MATILDE;290;48,6;F
ANDREA ESTEFANIA;290;20,3;F
ANELIYA;290;38;F
ARGIÑE;290;30,6;F
CARMEN ELISA;290;46,9;F
CARMEN LIDIA;290;43,9;F
CASSANDRA;290;20,7;F
CONCHI;290;49,8;F
FATUMATA;290;13;F
GHIZLAN;290;20,6;F
IRIA MARIA;290;25,4;F
JANETTE;290;31,4;F
JOCELYN;290;33,9;F
MARIA CARMO;290;51;F
MARIA ZULEMA;290;46,7;F
OLGA PATRICIA;290;42,8;F
SOAD;290;37,1;F
SONIA CARMEN;290;39,5;F
SORAYA MARIA;290;31,3;F
ALBA MARINA;289;31,9;F
CARLOTTA;289;12,1;F
KATARINA;289;33,4;F
MARGARET ANN;289;67,4;F
MARIA DESIRE;289;30,7;F
ANA VERONICA;288;34,6;F
SUHAILA;288;7,4;F
WEI;288;34,8;F
ELIZABETH MARIA;287;34,1;F
NAYA;287;6,7;F
DRIFA;286;45,7;F
LIN;286;26,9;F
MARIA JUSTINA;286;58,7;F
TORIBIA;286;72,6;F
ELIZA;285;30,5;F
JIAYI;285;9,6;F
JULIETTE;285;18,7;F
MARIA BENEDICTA;285;60;F
NADIA MARIA;285;25,2;F
NEIVA;285;20,1;F
OHIANE;285;21,4;F
POLONIA;285;68,9;F
SILVIA ELENA;285;41,6;F
WARDA;285;17,1;F
ANA REYES;284;44,2;F
ARA;284;13,9;F
CORO;284;49,7;F
ERNESTA;284;63,5;F
HILDA MARIA;284;49,1;F
KATJA;284;37,4;F
LLUM;284;12,1;F
LYDIA MARIA;284;31,5;F
MONICA PILAR;284;39,5;F
SONIA ESTHER;284;40,3;F
ALBA CARMEN;283;15,8;F
ALBA LUZ;283;43,3;F
ISABEL ANA;283;50,4;F
MAGDALENA MARIA;283;41,7;F
VERONIQUE;283;45,3;F
CRISTINA BEATRIZ;282;37,1;F
MARIA SHEILA;282;32,6;F
MIREN IDOIA;282;48,7;F
ONELIA;282;62,4;F
RITA CARMEN;282;39,3;F
VERONICA ALEXANDRA;282;30;F
ARACELY;281;37,5;F
IVONE;281;38,5;F
LAURA ALEJANDRA;281;23,2;F
LUZ ANGELA;281;38,6;F
MARIA ERNESTINA;281;58,4;F
OIANE;281;27,7;F
ALAINE;280;15,9;F
ANA RUTH;280;37,7;F
BEATRIZ ISABEL;280;37,7;F
BINTA;280;24;F
MAYRA ALEXANDRA;280;26,8;F
REGINA MARIA;280;43,7;F
AITANA MARIA;279;11,3;F
ANA JOAQUINA;279;56,7;F
ANUTA;279;43,1;F
EVGENIYA;279;35,7;F
ISABEL ANTONIA;279;55,3;F
MARIA MODESTA;279;60,7;F
REMEDIO;279;64,2;F
DIANA CRISTINA;278;29,8;F
GERGANA;278;29,1;F
ISABEL ANGELES;278;50,9;F
RUMYANA;278;42,2;F
AMEL;277;27,5;F
GIORGIA;277;23,9;F
GLADYS MARIA;277;48;F
LENKA;277;33,5;F
MARCELIANA;277;74,1;F
MARIA EDELMIRA;277;60,4;F
MARIA ELDA;277;55,2;F
NICOLA;277;34,7;F
SARAH JANE;277;39,7;F
VERONICA ELIZABETH;277;33,1;F
DENIA;276;25,2;F
HUI;276;28,6;F
PATRICIA ANNE;276;66,9;F
ZAIDA MARIA;276;28,3;F
EIRA;275;9,5;F
ESTILITA;275;70,2;F
GLORIA PILAR;275;49,1;F
IZADI;275;6,2;F
MARIA JENNIFER;275;30,2;F
MARTINE;275;55,8;F
SOFIA ISABEL;275;22,6;F
TATJANA;275;42;F
VICTORIA ANGELES;275;44,9;F
DAGMAR;274;50,7;F
FANTA;274;22,1;F
GORANE;274;22,9;F
HRISTINA;274;34,8;F
JOSEFA MANUELA;274;63,6;F
MARIA ENEDINA;274;62,8;F
MARIA EUFEMIA;274;54;F
MONICA ANDREA;274;32,3;F
SONIA ELIZABETH;274;37;F
ZELTIA;274;19,2;F
FATIMA CARMEN;273;34,7;F
JUANA MANUELA;273;61,3;F
SILVIA ISABEL;273;39,8;F
ANA SOLEDAD;272;40,8;F
CARMEN MAR;272;33,7;F
MARIA ALBINA;272;61,8;F
MARIA CLEMENCIA;272;53,3;F
YESICA MARIA;272;29,7;F
YESIKA;272;31,3;F
DEISY;271;39,1;F
EMMA LOUISE;271;31,7;F
EREA;271;13,7;F
ERLINDA;271;55,1;F
ISABEL ROSARIO;271;48,1;F
MELODIE;271;23,3;F
NAJLAE;271;20,9;F
YAMILET;271;29,5;F
CHENOA;270;11,9;F
ELISABETTA;270;38,8;F
HONORIA;270;73,9;F
MARTA ROSA;270;47;F
MEI;270;22,9;F
MERCY;270;36;F
ROSA ANTONIA;270;54,8;F
SEVERA;270;70,4;F
CARMEN FRANCISCA;269;56,2;F
VITORIA;269;51,7;F
ZUNILDA;269;40,9;F
ALEXANDRA ELIZABETH;268;32,8;F
FATIMA ROSARIO;268;43;F
ANA EMILIA;267;44,1;F
BTISSAM;267;26,3;F
ELIZABETH ANN;267;59,4;F
HELIA;267;27,9;F
ILARIA;267;31,3;F
MARIA PASCUALA;267;59,1;F
MICHELA;267;34,6;F
MIRNA;267;35,7;F
SORINA;267;33,2;F
SUSAN ELIZABETH;267;59,8;F
YAJAIRA;267;28;F
ANA ASUNCION;266;44,7;F
EVA CARMEN;266;37,7;F
KAUTAR;266;11;F
KRYSTYNA;266;48,8;F
TSVETELINA;266;27,7;F
YOLANDA ISABEL;266;42,9;F
ZAYNAB;266;13,5;F
CARLA PATRICIA;265;27,3;F
FANICA;265;43,3;F
NANA;265;36,4;F
BLANCA AMELIA;264;55,8;F
CHRISTINE ANN;264;63;F
DAPHNE;264;22,7;F
ELICIA;264;67,7;F
EMILIE;264;28,4;F
EVA PATRICIA;264;35,4;F
HALA;264;17,9;F
IRAYA;264;14,1;F
JUANA DIOS;264;63,3;F
MARIA EDITA;264;60,9;F
MARIA REMEDIO;264;55,9;F
AFRIKA;263;6,5;F
ANDREA PILAR;263;26,8;F
AROA MARIA;263;21,7;F
AYADA;263;47,3;F
EULALIA MARIA;263;49,1;F
JESSICA ALEXANDRA;263;24;F
LEXURI;263;15,3;F
LILIANE;263;50,4;F
MADDALEN;263;18,4;F
SUZANNE;263;52;F
CHAXIRAXI;262;27;F
CLAUDIA CRISTINA;262;33,9;F
CORPUS;262;64,3;F
ISLAM;262;9,9;F
JOSEFA ROSARIO;262;57,5;F
LORE;262;27,2;F
MAFALDA;262;20,4;F
MARIA ROSARIO FATIMA;262;57,5;F
ROSA TERESA;262;54,9;F
YU;262;25,3;F
ANTONIA BELEN;261;35,8;F
ARIADNA MARIA;261;14,8;F
ELENA BEATRIZ;261;39,4;F
IBTISAM;261;12,1;F
IZABELA;261;29,7;F
LUCINA;261;65,3;F
OLGA ISABEL;261;44,9;F
SAMPEDRO;261;67,2;F
YARITZA;261;16,2;F
ANDREINA;260;32,2;F
CARMEN MILAGROS;260;49,5;F
EGUZKIÑE;260;39,4;F
EVERILDA;260;71,6;F
PRISCILLA;260;29;F
SERAPIA;260;76,8;F
STEFANY;260;16,1;F
TUDORITA;260;44,1;F
BETH;259;7,7;F
BLANCA CECILIA;259;48,4;F
CARLA SOFIA;259;25,2;F
CAROLINA CARMEN;259;30,5;F
DAIDA;259;26,3;F
LEONIDA;259;62,3;F
MAHA;259;21,4;F
MARTA INES;259;43,7;F
RAMIRA;259;73,1;F
CAROLE;258;51,6;F
CONCESA;258;73,3;F
KEREN;258;19,7;F
LAURA ANDREA;258;25;F
MARGARITA PILAR;258;51,6;F
MONICA ALEJANDRA;258;34,6;F
SARA ELENA;258;28,1;F
SOHORA;258;54;F
CHAYMA;257;10,6;F
DOMNICA;257;48,6;F
ISABEL MERCEDES;257;50,4;F
ITXASNE;257;22,5;F
KATE;257;31,8;F
MERTXE;257;54,4;F
MIREN ARANTZA;257;51,6;F
MOIRA;257;34;F
SUSANA CARMEN;257;43,7;F
ANA MILAGROS;256;43,3;F
ANAHIT;256;41,5;F
DIANA ELENA;256;22,1;F
ESTEFANY;256;18,3;F
GALYA;256;36,7;F
INGEBORG;256;69,5;F
PAULA ALEJANDRA;256;21,4;F
USUE;256;25,9;F
YUREMA;256;19,4;F
AIDE;255;32,8;F
CHRISTEL;255;52;F
CORINNE;255;43,1;F
DOINITA;255;43,7;F
ZAIRA MARIA;255;20,6;F
ZAMARA;255;14,7;F
ALEXANDRA ELENA;254;17,5;F
ALIONA;254;32,5;F
ANA CRUZ;254;46,7;F
BLANCA AZUCENA;254;48,9;F
DULCINEA;254;56,9;F
ELENA MIHAELA;254;30,8;F
FATIMA SOHORA;254;32,6;F
HIDAYA;254;3,5;F
MARIE THERESE;254;62,3;F
MIREN IZASKUN;254;49,9;F
WASSIMA;254;15,6;F
ABIR;253;13,9;F
AMETS;253;18,9;F
ANA MAR;253;32,7;F
FLORIANA;253;56,9;F
ITZEL;253;7,8;F
LEAH;253;13,1;F
LUZ ANGELICA;253;43,5;F
LUZIA;253;24,9;F
MARIA EMERITA;253;63,4;F
MAYKA;253;15,6;F
MONSERRATE;253;60,4;F
RUTH ESTHER;253;31,9;F
SONIA CRISTINA;253;38,2;F
ULRIKE;253;52,7;F
ANA EUGENIA;252;41,2;F
DENISA MARIA;252;10,8;F
INES CARMEN;252;44,5;F
LEOPOLDINA;252;68,3;F
LIS;252;17,7;F
MARIA GENEROSA;252;63,4;F
YOSUNE;252;33,9;F
CINTA ROCIO;251;29,5;F
GASPARA;251;73,4;F
JENNY ELIZABETH;251;36,6;F
LYUDMILA;251;45,5;F
MARIA LUZ DIVINA;251;62,1;F
SILVIA PILAR;251;37,8;F
SUSAN MARY;251;63,3;F
VANYA;251;37,9;F
YAMILEY;251;9,7;F
YASSMIN;251;5,6;F
CAROLINA ANDREA;250;31,4;F
DAMASA;250;72,8;F
ELENA ALINA;250;30,4;F
ESTELLA;250;29;F
GERARDA;250;71,1;F
KERSTIN;250;43,7;F
MARIA DIONISIA;250;56,5;F
ANA AURORA;249;43,6;F
BLANCA PALOMA;249;28,7;F
CRISTINA MIHAELA;249;28,2;F
CYNTIA;249;21;F
JULIE ANN;249;49,7;F
NIKOL;249;9,6;F
SALHA;249;41,6;F
SANDRINE;249;39,2;F
TEODOMIRA;249;73,4;F
ALEYDA;248;42;F
DOROTHY;248;65,4;F
GIUSEPPINA;248;52,3;F
JOSEFINA MARIA;248;54,4;F
MANUELA PILAR;248;57,4;F
RANDA;248;19;F
ROZA;248;46,6;F
SILKE;248;32;F
SONIA BEATRIZ;248;39,4;F
CARMEN ANTONIA;247;54,4;F
GLORIA ELIZABETH;247;37,4;F
LEIDY JOHANNA;247;27,4;F
MARYANA;247;27,2;F
ODALYS;247;44,6;F
RUSLANA;247;35,6;F
AMANDA JANE;246;46,8;F
ANACLETA;246;71,6;F
ANTONIETA;246;57,7;F
BLANCA INES;246;49,1;F
FLOARE;246;53,2;F
MARIA ELADIA;246;55,3;F
MARIA ERIKA;246;35,3;F
NAHIR;246;18,1;F
SIRIA;246;20,9;F
SUKAINA;246;14,8;F
ANA GUADALUPE;245;41,4;F
DAKOTA;245;10,4;F
ELISABETH MARIA;245;38,1;F
HONG;245;38,2;F
LUTGARDA;245;66,9;F
MAIRA ALEJANDRA;245;23,5;F
MARIA YASMINA;245;34,3;F
NADIIA;245;40,7;F
ZOUHRA;245;44,2;F
ANTOANETA;244;41,1;F
HANNELORE;244;69;F
JUANA LUISA;244;60,4;F
KARLA PATRICIA;244;31,4;F
MARIA JOANA;244;46,4;F
MYROSLAVA;244;44,2;F
PALOMA ROCIO;244;27,7;F
ROSA ANGELA;244;43,7;F
RUTH ELIZABETH;244;36,5;F
TIMOTEA;244;74,8;F
VICTORITA;244;40,9;F
XIAOFEN;244;38,3;F
ANDREA CRISTINA;243;23;F
ANGELA ROSA;243;50,8;F
MARINA PILAR;243;41,6;F
RAQUEL CARMEN;243;34,9;F
ROSA AMPARO;243;52,5;F
SANTAS;243;73,5;F
AYLIN;242;12,1;F
CARMEN MARGARITA;242;50,3;F
CLAUDIA BEATRIZ;242;37,6;F
DRISSIA;242;43;F
GHERGHINA;242;50,3;F
HEIKE;242;49,9;F
VICTORIA ELENA;242;34,6;F
ANA BERTA;241;46,5;F
ANDERE;241;22,5;F
ELISABET MARIA;241;30,4;F
GENESIS;241;14,2;F
JUDITH MARIA;241;26,8;F
JUSTA MARIA;241;50,1;F
LINGLING;241;32,1;F
MAICA;241;20,4;F
MONICA ROCIO;241;38,4;F
